"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"130","23.829761","0.039208","192.168.1.10","10.0.0.2","SMB2","454","400","127","Create Request[Packet size limited during capture]"
"131","23.829994","0.000233","10.0.0.2","192.168.1.10","SMB2","354","300","128","Create Response File: [unknown][Packet size limited during capture]"
"132","23.870673","0.040679","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request"
"133","23.870859","0.000186","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"134","23.910870","0.040011","192.168.1.10","10.0.0.2","SMB2","370","316","127","GetInfo Request FILE_INFO/SMB2_FILE_EA_INFO File: [unknown];GetInfo Request FILE_INFO/SMB2_FILE_STREAM_INFO[Packet size limited during capture]"
"135","23.911198","0.000328","10.0.0.2","192.168.1.10","SMB2","346","292","128","GetInfo Response;GetInfo Response[Packet size limited during capture]"
"136","23.950096","0.038898","192.168.1.10","10.0.0.2","SMB2","210","156","127","Ioctl Request FSCTL_OFFLOAD_READ File: [unknown]"
"137","23.950212","0.000116","10.0.0.2","192.168.1.10","SMB2","130","76","128","Ioctl Response, Error: STATUS_PENDING"
"138","23.950337","0.000125","10.0.0.2","192.168.1.10","SMB2","130","76","128","Ioctl Response, Error: STATUS_NOT_SUPPORTED"
"139","23.989815","0.039478","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8223 Ack=114498 Win=64256 Len=0"
"140","23.989816","0.000001","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:0 File: [unknown]"
"141","23.990052","0.000236","10.0.0.2","192.168.1.10","SMB2","64294","64240","128","Read Response[BoundErrorUnreassembled Packet]"
"142","23.999971","0.009919","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:1048576 File: [unknown]"
"143","23.999971","0.000000","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:2097152 File: [unknown]"
"144","24.000022","0.000051","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=178738 Ack=8574 Win=65280 Len=0"
"145","24.000142","0.000120","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:3145728 File: [unknown]"
"146","24.000142","0.000000","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:4194304 File: [unknown]"
"147","24.000142","0.000000","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:5242880 File: [unknown]"
"148","24.000167","0.000025","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=178738 Ack=8925 Win=64768 Len=0"
"149","24.031800","0.031633","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=117418 Win=65536 Len=0"
"150","24.031800","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=126178 Win=65536 Len=0"
"151","24.031800","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=130558 Win=65536 Len=0"
"152","24.031801","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=136398 Win=65536 Len=0"
"153","24.031801","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=142238 Win=65536 Len=0"
"154","24.031801","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=148078 Win=65536 Len=0"
"155","24.031801","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=150998 Win=65536 Len=0"
"156","24.031801","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=156838 Win=65536 Len=0"
"157","24.031801","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=159758 Win=65536 Len=0"
"158","24.031802","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=164138 Win=65536 Len=0"
"159","24.031802","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=168518 Win=65536 Len=0"
"160","24.031802","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=172898 Win=65536 Len=0"
"161","24.031802","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=174358 Win=65536 Len=0"
"162","24.031802","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=8925 Ack=178738 Win=65536 Len=0"
"163","24.031803","0.000001","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:1048576 Off:6291456 File: [unknown]"
"164","24.031864","0.000061","10.0.0.2","192.168.1.10","NBSS","64294","64240","128","NBSS Continuation Message"
"165","24.069835","0.037971","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=186038 Win=65536 Len=0"
"166","24.069835","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=194798 Win=65536 Len=0"
"167","24.069835","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=200638 Win=65536 Len=0"
"168","24.069835","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=205018 Win=65536 Len=0"
"169","24.069836","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=212318 Win=65536 Len=0"
"170","24.069836","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=218158 Win=65536 Len=0"
"171","24.069836","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=222538 Win=65536 Len=0"
"172","24.069884","0.000048","10.0.0.2","192.168.1.10","NBSS","43854","43800","128","NBSS Continuation Message"
"173","24.070201","0.000317","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=9042 Ack=225458 Win=65536 Len=0"
