"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Identification","Info"
"162","0.002703","0.000001","212.252.19.98","10.0.64.129","TCP","64","0","123","0x0100 (256)","18129  >  80 [SYN] Seq=0 Win=16384 Len=0"
"163","0.002748","0.000044","142.142.28.134","10.0.64.129","TCP","64","0","113","0x0100 (256)","16559  >  80 [SYN] Seq=0 Win=16384 Len=0"
"164","0.002750","0.000002","212.252.19.96","10.0.64.129","TCP","64","0","123","0x0100 (256)","18127  >  80 [SYN] Seq=0 Win=16384 Len=0"
"165","0.002752","0.000001","219.99.39.231","10.0.64.129","TCP","64","0","110","0x0100 (256)","21229  >  80 [SYN] Seq=0 Win=16384 Len=0"
"166","0.002754","0.000002","219.99.39.191","10.0.64.129","TCP","64","0","110","0x0100 (256)","21189  >  80 [SYN] Seq=0 Win=16384 Len=0"
"167","0.002756","0.000001","147.227.17.224","10.0.64.129","TCP","64","0","118","0x0100 (256)","17918  >  80 [SYN] Seq=0 Win=16384 Len=0"
"168","0.002758","0.000001","219.99.39.194","10.0.64.129","TCP","64","0","110","0x0100 (256)","21192  >  80 [SYN] Seq=0 Win=16384 Len=0"
"169","0.002862","0.000104","Cisco_46:1b:71","Broadcast","ARP","68","","","","Who has 10.0.63.139? Tell 10.0.63.130[Packet size limited during capture]"
"170","0.002868","0.000005","212.212.4.216","10.0.64.129","TCP","64","0","123","0x0100 (256)","11767  >  80 [SYN] Seq=0 Win=16384 Len=0"
"171","0.002917","0.000049","219.99.39.174","10.0.64.129","TCP","64","0","110","0x0100 (256)","21172  >  80 [SYN] Seq=0 Win=16384 Len=0"
"172","0.002920","0.000002","212.212.5.7","10.0.64.129","TCP","64","0","123","0x0100 (256)","11814  >  80 [SYN] Seq=0 Win=16384 Len=0"
"173","0.002922","0.000001","212.212.4.217","10.0.64.129","TCP","64","0","123","0x0100 (256)","11768  >  80 [SYN] Seq=0 Win=16384 Len=0"
"174","0.002974","0.000052","44.204.14.195","10.0.64.129","TCP","64","0","115","0x0100 (256)","16298  >  80 [SYN] Seq=0 Win=16384 Len=0"
"175","0.002976","0.000002","147.227.17.39","10.0.64.129","TCP","64","0","118","0x0100 (256)","17733  >  80 [SYN] Seq=0 Win=16384 Len=0"
